fecha,ccl
2015-12-03,14.7300
2015-12-04,14.7900
2015-12-05,14.7900
2015-12-06,14.7900
2015-12-07,14.7900
2015-12-08,14.7900
2015-12-09,15.1300
2015-12-10,15.1700
2015-12-11,15.3500
2015-12-12,15.3500
2015-12-13,15.3500
2015-12-14,15.1300
2015-12-15,14.8800
2015-12-16,14.5300
2015-12-17,14.2600
2015-12-18,14.0200
2015-12-19,14.0200
2015-12-20,14.0200
2015-12-21,13.9300
2015-12-22,13.7400
2015-12-23,13.9000
2015-12-24,13.9000
2015-12-25,13.9000
2015-12-26,13.9000
2015-12-27,13.9000
2015-12-28,14.3300
2015-12-29,14.3400
2015-12-30,14.1400
2015-12-31,14.1400
2016-01-01,14.1400
2016-01-02,14.1400
2016-01-03,14.1400
2016-01-04,13.6900
2016-01-05,13.6600
2016-01-06,14.2000
2016-01-07,14.1600
2016-01-08,14.5400
2016-01-09,14.5400
2016-01-10,14.5400
2016-01-11,14.4700
2016-01-12,14.1900
2016-01-13,13.9700
2016-01-14,13.8300
2016-01-15,13.7100
2016-01-16,13.7100
2016-01-17,13.7100
2016-01-18,13.7100
2016-01-19,13.7800
2016-01-20,13.9000
2016-01-21,13.8600
2016-01-22,13.7400
2016-01-23,13.7400
2016-01-24,13.7400
2016-01-25,14.1400
2016-01-26,14.0200
2016-01-27,14.0000
2016-01-28,14.0000
2016-01-29,13.9800
2016-01-30,13.9800
2016-01-31,13.9800
2016-02-01,14.2400
2016-02-02,14.4000
2016-02-03,14.3300
2016-02-04,14.4100
2016-02-05,14.5100
2016-02-06,14.5100
2016-02-07,14.5100
2016-02-08,14.5100
2016-02-09,14.5100
2016-02-10,14.6300
2016-02-11,14.8500
2016-02-12,14.9500
2016-02-13,14.9500
2016-02-14,14.9500
2016-02-15,14.9500
2016-02-16,15.1800
2016-02-17,15.3500
2016-02-18,15.3600
2016-02-19,15.2800
2016-02-20,15.2800
2016-02-21,15.2800
2016-02-22,15.2000
2016-02-23,15.3200
2016-02-24,15.5200
2016-02-25,15.5400
2016-02-26,15.4500
2016-02-27,15.4500
2016-02-28,15.4500
2016-02-29,15.5700
2016-03-01,15.9000
2016-03-02,16.0300
2016-03-03,15.7600
2016-03-04,15.4900
2016-03-05,15.4900
2016-03-06,15.4900
2016-03-07,15.4600
